"variable","importance","ID","K.sce","I.sce","N.sce"
"Cla",0.0125328292556711,15,0.05,1,1
"Cna",0.00619256419450513,15,0.05,1,1
"Caa",0.0056499490246631,15,0.05,1,1
"Cs",0.109465501516204,15,0.05,1,1
"Nlh",0.0129571029025325,15,0.05,1,1
"Nnh",0.00834027692528276,15,0.05,1,1
"Nah",0.00598302446654399,15,0.05,1,1
"Dl",0.012768527164888,15,0.05,1,1
"Dn",0.00935068958149237,15,0.05,1,1
"Da",0.0106406927037915,15,0.05,1,1
"Hcn",0.152556435621812,15,0.05,1,1
"Hcs",0.0266140052857354,15,0.05,1,1
"I",0.00959627174168427,15,0.05,1,1
"theta",0.00765934827465592,15,0.05,1,1
"Pl",0.00902608323739554,15,0.05,1,1
"Pn",0.0104419877254879,15,0.05,1,1
"Pa",0.0172942747854602,15,0.05,1,1
"Ql",0.0410697470747042,15,0.05,1,1
"Qn",0.0079800948091938,15,0.05,1,1
"Qa",0.00804403171497801,15,0.05,1,1
"Ra",0.0587776208140678,15,0.05,1,1
"E",0.0246585174032766,16,0.05,1,1
"Sl",0.0179627327569947,16,0.05,1,1
"Sn",0.0461090682213514,16,0.05,1,1
"Sa",0.0241946657282212,16,0.05,1,1
"Cll",0.00973848085277985,16,0.05,1,1
"Cnl",0.00711560501926034,16,0.05,1,1
"Cal",0.00543128722321569,16,0.05,1,1
"Cln",0.0091204597317524,16,0.05,1,1
"Cnn",0.0063532165441159,16,0.05,1,1
"Can",0.00562249210130174,16,0.05,1,1
"Cla",0.0103989964791223,16,0.05,1,1
"Cna",0.00674046231654705,16,0.05,1,1
"Caa",0.00493128873527822,16,0.05,1,1
"Cs",0.109330646560482,16,0.05,1,1
"Nlh",0.00922076333117247,16,0.05,1,1
"Nnh",0.00636983274669058,16,0.05,1,1
"Nah",0.0043953627913871,16,0.05,1,1
"Dl",0.0111493113570285,16,0.05,1,1
"Dn",0.0074174167001921,16,0.05,1,1
"Da",0.0144904883376882,16,0.05,1,1
"Hcn",0.154314165243987,16,0.05,1,1
"Hcs",0.0236681526042441,16,0.05,1,1
"I",0.0223119909716299,16,0.05,1,1
"theta",0.00718448047104784,16,0.05,1,1
"Pl",0.00700839838558585,16,0.05,1,1
"Pn",0.0111683922359824,16,0.05,1,1
"Pa",0.010678531091267,16,0.05,1,1
"Ql",0.0400060726601491,16,0.05,1,1
"Qn",0.00927887099577153,16,0.05,1,1
"Qa",0.00776846664622396,16,0.05,1,1
"Ra",0.0607775677049759,16,0.05,1,1
"E",0.0380035625198636,17,0.05,1,1
"Sl",0.0256661648985793,17,0.05,1,1
"Sn",0.047394504009763,17,0.05,1,1
"Sa",0.0184988862864419,17,0.05,1,1
"Cll",0.00811512197097656,17,0.05,1,1
"Cnl",0.00603826248071954,17,0.05,1,1
"Cal",0.00685553587870421,17,0.05,1,1
"Cln",0.00809730744971613,17,0.05,1,1
"Cnn",0.00630875022713628,17,0.05,1,1
"Can",0.00854978401006862,17,0.05,1,1
"Cla",0.0104305019454832,17,0.05,1,1
"Cna",0.00699870861915052,17,0.05,1,1
"Caa",0.007935142410888,17,0.05,1,1
"Cs",0.108364861083638,17,0.05,1,1
"Nlh",0.00836182697586993,17,0.05,1,1
"Nnh",0.00682026855488751,17,0.05,1,1
"Nah",0.00803092726768892,17,0.05,1,1
"Dl",0.00980019254034887,17,0.05,1,1
"Dn",0.0105031825969044,17,0.05,1,1
"Da",0.00762584795494254,17,0.05,1,1
"Hcn",0.129241667725825,17,0.05,1,1
"Hcs",0.0426665068486215,17,0.05,1,1
"I",0.0312584848988337,17,0.05,1,1
"theta",0.00717435266889289,17,0.05,1,1
"Pl",0.00936999709421791,17,0.05,1,1
"Pn",0.0120904697242685,17,0.05,1,1
"Pa",0.0128041097295627,17,0.05,1,1
"Ql",0.0304501616073769,17,0.05,1,1
"Qn",0.0118173317526683,17,0.05,1,1
"Qa",0.0087794071406176,17,0.05,1,1
"Ra",0.0594936952907896,17,0.05,1,1
"E",0.0319567113805391,18,0.05,1,1
"Sl",0.023419035142521,18,0.05,1,1
"Sn",0.0232168684359201,18,0.05,1,1
"Sa",0.0136827957575728,18,0.05,1,1
"Cll",0.0123721885651363,18,0.05,1,1
"Cnl",0.00636462640551653,18,0.05,1,1
"Cal",0.0070561010745968,18,0.05,1,1
