"variable","importance","ID","K.sce","I.sce","N.sce"
"Cnl",0.000240987821396613,18,0.05,1,1
"Cal",0.000231383877158911,18,0.05,1,1
"Cln",0.000200915548212312,18,0.05,1,1
"Cnn",0.000266606430446346,18,0.05,1,1
"Can",0.000203768001074543,18,0.05,1,1
"Cla",0.000168182458985096,18,0.05,1,1
"Cna",0.00023809195421385,18,0.05,1,1
"Caa",0.000182670907142769,18,0.05,1,1
"Cs",0.00421387746247509,18,0.05,1,1
"Nlh",0.000188715684681422,18,0.05,1,1
"Nnh",0.000233491556745137,18,0.05,1,1
"Nah",0.000175139095826505,18,0.05,1,1
"Dl",0.000330003748471931,18,0.05,1,1
"Dn",0.00028528812535263,18,0.05,1,1
"Da",0.000288299586943678,18,0.05,1,1
"Hcn",0.00895986231030525,18,0.05,1,1
"Hcs",0.00272639211731093,18,0.05,1,1
"I",0.00185210730900229,18,0.05,1,1
"theta",0.000279928092597334,18,0.05,1,1
"Pl",0.000306963761050004,18,0.05,1,1
"Pn",0.000197537400953059,18,0.05,1,1
"Pa",0.000298744949355067,18,0.05,1,1
"Ql",0.00273220406851994,18,0.05,1,1
"Qn",0.000317388210669062,18,0.05,1,1
"Qa",0.000341653014220873,18,0.05,1,1
"Ra",0.00303911106385481,18,0.05,1,1
"E",0.00189912369888447,19,0.05,1,1
"Sl",0.00076503354670575,19,0.05,1,1
"Sn",0.00294521301804272,19,0.05,1,1
"Sa",0.000691614953063895,19,0.05,1,1
"Cll",0.000184722550460527,19,0.05,1,1
"Cnl",0.000268725497682646,19,0.05,1,1
"Cal",0.000180285154502037,19,0.05,1,1
"Cln",0.000238994077334807,19,0.05,1,1
"Cnn",0.000186854359863082,19,0.05,1,1
"Can",0.000275089316016027,19,0.05,1,1
"Cla",0.000204360668992348,19,0.05,1,1
"Cna",0.000256060888417349,19,0.05,1,1
"Caa",0.00026970773544009,19,0.05,1,1
"Cs",0.00588820588473853,19,0.05,1,1
"Nlh",0.000213676173212322,19,0.05,1,1
"Nnh",0.000149343135823483,19,0.05,1,1
"Nah",0.000230867571190988,19,0.05,1,1
"Dl",0.000385734317673089,19,0.05,1,1
"Dn",0.00036935449838263,19,0.05,1,1
